iter	Logloss
0	0.6673906901
1	0.6443942708
2	0.6234291016
3	0.6051350911
4	0.5882009766
5	0.5729585286
6	0.5594498047
7	0.5473022135
8	0.536339681
9	0.5266689779
10	0.5176516602
11	0.509740625
12	0.5016613281
13	0.4950104492
14	0.4886875651
15	0.4827254557
16	0.477102181
17	0.4719649414
18	0.4672315755
19	0.4631563151
20	0.459168099
21	0.4549224609
22	0.4513561849
23	0.4481968099
24	0.4450781901
25	0.4424061523
26	0.4396613281
27	0.4366850586
28	0.4346004557
29	0.4324598958
30	0.4304945964
31	0.4284979167
32	0.4269631185
33	0.425386263
34	0.423353418
35	0.4217942708
36	0.4202490885
37	0.4188592122
38	0.4173111979
39	0.4158641927
40	0.4144577799
41	0.4133396159
42	0.4120595703
43	0.4109829427
44	0.4093040039
45	0.4083136719
46	0.4067888672
47	0.4057431641
48	0.4049822591
49	0.4041099284
50	0.4031527995
51	0.4019722331
52	0.4010384115
53	0.4000884766
54	0.3994214518
55	0.3987886068
56	0.3982077799
57	0.3977740234
58	0.3963284505
59	0.3952139323
60	0.3944375651
61	0.3935751953
62	0.393153776
63	0.3919899089
64	0.3912956706
65	0.3905007161
66	0.3894503906
67	0.388378125
68	0.3878619792
69	0.3868605469
70	0.3861119141
71	0.3853627279
72	0.3849258138
73	0.3845114583
74	0.3837490885
75	0.383295638
76	0.3825867839
77	0.3821023112
78	0.3813433268
79	0.3809565755
80	0.3805498698
81	0.3798862305
82	0.3792464844
83	0.3786260742
84	0.3780434245
85	0.3777136068
86	0.3772260417
87	0.376844987
88	0.3765667318
89	0.3761869466
90	0.3755361328
91	0.3750733724
92	0.374586263
93	0.3740804688
94	0.3737274089
95	0.3733380208
96	0.3730404297
97	0.3727570964
98	0.3721150391
99	0.371619987
100	0.3707212891
101	0.3701482422
102	0.3697364583
103	0.3693159505
104	0.3689558268
105	0.3686452474
106	0.3683764974
107	0.3679949219
108	0.3673321615
109	0.3671354167
110	0.366893099
111	0.3664845052
112	0.3660005859
113	0.3654353841
114	0.3652535156
115	0.364750944
116	0.3641953451
117	0.3637489583
118	0.3633258464
119	0.3626018555
120	0.3621190104
121	0.3619606771
122	0.3614812826
123	0.3609201497
124	0.3602954753
125	0.3599890951
126	0.3595477539
127	0.35929375
128	0.3589121419
129	0.3587038411
130	0.3583283203
131	0.3580233073
132	0.3575635417
133	0.3571957682
134	0.3569120443
135	0.3567126302
136	0.3564597656
137	0.3562067708
138	0.3558117188
139	0.3554624349
140	0.3551923177
141	0.3549658203
142	0.354847168
143	0.3546066406
144	0.3544755859
145	0.3542507487
146	0.3538404297
147	0.3535684896
148	0.3533910156
149	0.3531556641
150	0.3530073242
151	0.352859668
152	0.3526766927
153	0.3525057292
154	0.3523388021
155	0.3520443359
156	0.3515432617
157	0.3511864583
158	0.3509339844
159	0.3508807943
160	0.3507238607
161	0.3506134115
162	0.3504503255
163	0.3503498047
164	0.3499931966
165	0.3498220703
166	0.3496229167
167	0.3492911458
168	0.3492148763
169	0.349057487
170	0.3489514648
171	0.3486668945
172	0.3485277018
173	0.3479163737
174	0.3477307943
175	0.3475510091
176	0.3472995117
177	0.3468082682
178	0.3465825521
179	0.3464821289
180	0.3462192057
181	0.3462013997
182	0.3459572266
183	0.3458688802
184	0.3457483724
185	0.3455404297
186	0.3455005859
187	0.3454371745
188	0.3450029297
189	0.344834375
190	0.3445525391
191	0.3442967773
192	0.3441163086
193	0.3439416016
194	0.343879069
195	0.3437773438
196	0.3435945964
197	0.3434336914
198	0.3432321289
199	0.342943099
200	0.3428785807
201	0.3427279622
202	0.3425596354
203	0.3422031576
204	0.342095931
205	0.3419942383
206	0.3416624349
207	0.3415586589
208	0.3415064128
209	0.3414029948
210	0.3411580729
211	0.3409830404
212	0.3409286458
213	0.3407548828
214	0.3406263672
215	0.3402886393
216	0.3402069987
217	0.340030013
218	0.3399857422
219	0.339940918
220	0.3398657878
221	0.3397284505
222	0.3394742188
223	0.3394272786
224	0.3393977865
225	0.3393334635
226	0.3391081706
227	0.3390145508
228	0.3387128906
229	0.3385965169
230	0.3384173177
231	0.3383683268
232	0.338292806
233	0.3381350911
234	0.3380718099
235	0.338002474
236	0.3378236328
237	0.3376367188
238	0.3375029297
239	0.3374252279
240	0.3372702148
241	0.3370865234
242	0.3368354167
243	0.336647526
244	0.3364808594
245	0.3363138021
246	0.3361625651
247	0.3360570964
248	0.3360123372
249	0.3359143229
250	0.3357938151
251	0.3356283854
252	0.3355250651
253	0.3352872396
254	0.3352393229
255	0.3351739583
256	0.3350320638
257	0.3349067708
258	0.3347596354
259	0.3346591797
260	0.3345839844
261	0.3344369792
262	0.334380013
263	0.3340854167
264	0.3339711589
265	0.3339613932
266	0.3338092773
267	0.3337609375
268	0.3335782227
269	0.3334589193
270	0.3333294922
271	0.3332514974
272	0.3330458659
273	0.3329883138
274	0.3328410807
275	0.3328277344
276	0.3326371745
277	0.332563444
278	0.3325502279
279	0.3324134766
280	0.3322593099
281	0.332194694
282	0.3318234049
283	0.3315788086
284	0.3315318034
285	0.3314692708
286	0.3314169922
287	0.3312274089
288	0.3310811849
289	0.3309862956
290	0.3309475911
291	0.3307
292	0.3306164388
293	0.3306045573
294	0.3305984701
295	0.3305438802
296	0.3304701823
297	0.3302054688
298	0.3301210937
299	0.3299323242
300	0.3299143229
301	0.3297665039
302	0.3297601562
303	0.3297013997
304	0.3296365885
305	0.3294981445
306	0.3292551107
307	0.3292177409
308	0.3290685547
309	0.3288507161
310	0.328796224
311	0.328771582
312	0.3287384115
313	0.3284564453
314	0.3283679036
315	0.3282651042
316	0.3281809896
317	0.3280217773
318	0.3278602865
319	0.3278399089
320	0.3277266276
321	0.3276304036
322	0.3273707031
323	0.3272361654
324	0.3272125651
325	0.3271710937
326	0.3270998047
327	0.3270045247
328	0.3269521159
329	0.3268830729
330	0.3267566081
331	0.3267429036
332	0.3266641602
333	0.3265636719
334	0.3265375326
335	0.3264503906
336	0.3262200521
337	0.3261655599
338	0.3261609701
339	0.3261091146
340	0.3258660807
341	0.3258279622
342	0.3257720703
343	0.3256382161
344	0.3255629232
345	0.3255493164
346	0.3255220703
347	0.3254966471
348	0.3253476563
349	0.3253067383
350	0.3252216797
351	0.3251426107
352	0.3251110026
353	0.3249233073
354	0.3248436198
355	0.3247955078
356	0.3246357096
357	0.3244873698
358	0.3244506836
359	0.3244359049
360	0.324408138
361	0.3242820964
362	0.3241579427
363	0.3240661458
364	0.3239784831
365	0.3239197266
366	0.3239167969
367	0.323855013
368	0.3237509115
369	0.3236486328
370	0.3235615885
371	0.3234849609
372	0.3234364258
373	0.3234109701
374	0.3232738281
375	0.3232230469
376	0.3231786458
377	0.3230708984
378	0.3230182292
379	0.3230133789
380	0.3229973958
381	0.3227559896
382	0.3227023438
383	0.3225155599
384	0.3225152669
385	0.3224691732
386	0.3222798828
387	0.3221423503
388	0.3220614258
389	0.3220037109
390	0.3219964518
391	0.3218199219
392	0.3217881185
393	0.3216709635
394	0.3215729818
395	0.3214652344
396	0.3214272135
397	0.3213415039
398	0.3213382161
399	0.3213064779
400	0.3212776367
401	0.3212546549
402	0.3212533854
403	0.3212305664
404	0.3211783854
405	0.3211075521
406	0.3210099609
407	0.3209516276
408	0.320925651
409	0.3208380208
410	0.3207650716
411	0.320676888
412	0.3206085612
413	0.3205836914
414	0.3204914388
415	0.3203675781
416	0.320324056
417	0.3201674154
418	0.3201077799
419	0.3200897135
420	0.3200332031
421	0.3200171875
422	0.3199855143
423	0.3199273112
424	0.3198542643
425	0.3197217448
426	0.3196303385
427	0.319606543
428	0.3195555339
429	0.3195109375
430	0.3194476562
431	0.319385612
432	0.3192636393
433	0.3192281901
434	0.319180306
435	0.3190342448
436	0.3189941406
437	0.3189459635
438	0.3189209635
439	0.3188942383
440	0.3188658203
441	0.3188577474
442	0.3188441081
443	0.3187786458
444	0.3187446615
445	0.3187008789
446	0.3186811198
447	0.3186030924
448	0.3185445312
449	0.318466862
450	0.3184329753
451	0.318406901
452	0.3183589844
453	0.3183235026
454	0.3182720052
455	0.3182435221
456	0.3181974284
457	0.3181535482
458	0.3181323568
459	0.318034375
460	0.3179849609
461	0.3179371094
462	0.317894987
463	0.3178844076
464	0.3178296875
465	0.3178133789
466	0.3177208333
467	0.3176727214
468	0.3176159505
469	0.3175173177
470	0.3174266927
471	0.3174238932
472	0.3173913411
473	0.3173729818
474	0.3173213542
475	0.3172972656
476	0.3172870117
477	0.3172811849
478	0.317250651
479	0.3171289388
480	0.3170851562
481	0.3170446289
482	0.3170386068
483	0.3169545247
484	0.3169403971
485	0.3169089844
486	0.3168995443
487	0.3168273437
488	0.3168070312
489	0.3167861003
490	0.3167361328
491	0.3167199544
492	0.3167166016
493	0.316693099
494	0.3166813151
495	0.3165025716
496	0.3164716797
497	0.3164613932
498	0.3164517253
499	0.3162902344
500	0.3162663411
501	0.3162604167
502	0.3161978516
503	0.3160885417
504	0.3160225911
505	0.3160201172
506	0.3159945964
507	0.3159213867
508	0.3158873372
509	0.3158531901
510	0.3158360026
511	0.315830306
512	0.3158242839
513	0.3158155924
514	0.3158030599
515	0.3157652018
516	0.3157607096
517	0.3157533854
518	0.3156705404
519	0.3156316406
520	0.3156301432
521	0.3155968099
522	0.3155778646
523	0.3155713542
524	0.3155605469
525	0.3154095052
526	0.3153694661
527	0.3153624349
528	0.3153544922
529	0.3153358073
530	0.3153082682
531	0.3152834635
532	0.315263444
533	0.3151682943
534	0.315163151
535	0.3151478516
536	0.3151213542
537	0.3150417969
538	0.3150205404
539	0.3150197917
540	0.314879362
541	0.3148738932
542	0.3148519531
543	0.3148416992
544	0.3147507161
545	0.3146796875
546	0.3146444661
547	0.3146052083
548	0.3145513997
549	0.3145280273
550	0.3145061198
551	0.3144964844
552	0.3144901367
553	0.3144851888
554	0.3144797526
555	0.314408724
556	0.3143281901
