iter	Passed	Remaining
0	146	146600
1	150	74939
2	153	51152
3	158	39399
4	164	32709
5	170	28265
6	177	25155
7	183	22712
8	189	20827
9	195	19328
10	201	18122
11	209	17209
12	215	16354
13	223	15723
14	230	15125
15	236	14554
16	244	14121
17	252	13748
18	258	13369
19	265	13011
20	282	13185
21	293	13039
22	306	13026
23	315	12820
24	324	12660
25	333	12506
26	341	12320
27	349	12132
28	357	11963
29	366	11842
30	373	11680
31	380	11506
32	386	11311
33	391	11109
34	398	10976
35	405	10863
36	414	10776
37	421	10671
38	431	10629
39	440	10579
40	451	10568
41	460	10493
42	466	10385
43	475	10334
44	482	10248
45	490	10163
46	496	10065
47	502	9966
48	510	9899
49	515	9803
50	524	9751
51	531	9685
52	538	9628
53	548	9602
54	557	9585
55	565	9531
56	575	9513
57	581	9437
58	591	9430
59	600	9409
60	609	9381
61	623	9439
62	635	9451
63	644	9426
64	655	9433
65	664	9399
66	671	9350
67	679	9308
68	685	9251
69	691	9190
70	699	9157
71	706	9104
72	713	9054
73	719	9002
74	724	8935
75	731	8892
76	737	8839
77	743	8792
78	750	8745
79	756	8696
80	764	8674
81	770	8627
82	778	8600
83	785	8564
84	793	8541
85	799	8502
86	808	8481
87	815	8451
88	823	8424
89	829	8387
90	835	8343
91	844	8336
92	850	8296
93	857	8267
94	864	8233
95	871	8208
96	878	8181
97	885	8148
98	891	8115
99	897	8077
100	903	8040
101	909	8011
102	916	7978
103	922	7951
104	929	7918
105	934	7882
106	940	7851
107	946	7819
108	952	7789
109	958	7757
110	963	7719
111	969	7689
112	976	7661
113	983	7640
114	990	7620
115	995	7588
116	1002	7564
117	1008	7538
118	1014	7509
119	1022	7496
120	1028	7471
121	1035	7450
122	1041	7423
123	1046	7395
124	1053	7373
125	1059	7350
126	1067	7334
127	1073	7313
128	1080	7295
129	1087	7274
130	1092	7247
131	1099	7230
132	1105	7203
133	1112	7189
134	1118	7164
135	1124	7145
136	1131	7129
137	1137	7106
138	1144	7089
139	1150	7065
